sample_id,cat,domain,level,native_chain_length,critical_path_length,parallelism_ratio,candidate_orderings,retained_orderings,filtered_orderings,bucket,max_parallelism,retained_ordering_distance_mean,retained_ordering_distance_median,retained_ordering_distance_max
ad37a656-079a-49f9-a493-7b739c9167d1,A,Text,2,10,10,0.0,1,0,0,native-only,1,,,
f3917a3d-1d17-4ee2-90c5-683b072218fe,A,Text,2,9,9,0.0,1,0,0,native-only,1,,,
4b650a35-8529-4695-89ed-8dc7a500a498,A,Text,1,1,1,0.0,1,0,0,native-only,1,,,
48eb8242-1099-4c26-95d4-ef22b002457a,A,Text,2,4,4,0.0,1,0,1,native-only,1,,,
c8b7e059-c60d-472e-ad64-3b04ae1166dc,A,Text,2,13,9,0.3076923076923077,50,50,0,multi-order-rich,3,0.15564102564102564,0.15384615384615385,0.23076923076923078
d1af70ea-a9a4-421a-b9cc-94b5e02f1788,A,Text,2,10,7,0.30000000000000004,24,23,0,multi-order-rich,2,0.08115942028985505,0.08888888888888889,0.15555555555555556
08f3a05f-5947-4089-a4c4-d4bcfaa6b7a0,A,Text,2,6,5,0.16666666666666663,2,1,0,exactly-one,2,0.06666666666666667,0.06666666666666667,0.06666666666666667
c714ab3a-da30-4603-bacd-d008800188b9,A,Text,1,8,7,0.125,3,2,0,multi-order-rich,2,0.05357142857142857,0.05357142857142857,0.07142857142857142
9d191bce-651d-4746-be2d-7ef8ecadb9c2,A,Text,1,3,3,0.0,1,0,0,native-only,1,,,
ded28325-3447-4c56-860f-e497d6fb3577,A,Text,2,5,5,0.0,1,0,1,native-only,1,,,
e961a717-6b25-4175-8a68-874d28190ee4,A,Text,3,6,6,0.0,1,0,0,native-only,1,,,
d700d50d-c707-4dca-90dc-4528cddd0c80,A,Text,2,5,5,0.0,1,0,0,native-only,1,,,
851e570a-e3de-4d84-bcfa-cc85578baa59,A,Text,3,12,12,0.0,35,0,35,native-only,2,,,
cabe07ed-9eca-40ea-8ead-410ef5e83f91,A,Text,1,2,2,0.0,1,0,1,native-only,1,,,
0a3cd321-3e76-4622-911b-0fda2e5d6b1a,A,Text,2,9,9,0.0,1,0,0,native-only,1,,,
